ID,count,mean,stdv,startInst,endInst
0,822,0.262,0.309,0,821
1,1501,0.123,0.133,115,1615
2,1504,0.119,0.106,163,1666
3,741,0.208,0.177,201,941
4,512,0.116,0.084,344,855
5,1169,0.108,0.087,388,1556
6,971,0.107,0.064,499,1469
7,2056,0.108,0.047,543,2598
8,2338,0.106,0.06,662,0
9,1282,0.095,0.045,742,2023
10,937,0.088,0.045,821,1757
11,1069,0.095,0.045,855,1923
12,2059,0.103,0.034,941,0
13,1531,0.105,0.034,1469,0
14,253,0.086,0.071,1556,1808
15,930,0.081,0.106,1615,2544
16,1334,0.078,0.049,1666,0
17,92,0.32,0.412,1757,1848
18,1192,0.122,0.119,1808,0
19,1152,0.096,0.11,1848,0
20,1077,0.094,0.044,1923,0
21,977,0.133,0.042,2023,0
22,456,0.114,0.037,2544,0
23,402,0.144,0.041,2598,0
